Project Description,Status/progress,Date,Priority,,,Deadline,Approval,Link to Files (if needed),Comments
,,,Urgent,Medium,Low,,,,
FLO-aga mobile responsive fix,Done,01/05/2026,,,v,,,Link,
FLO-aga assets creation,Done,01/06/2026,,,v,,,,
FLO-aga Implement character in-game,Done,01/07/2026,,,v,,,,
Ready to print aircrew card for Ross Alexander,Done,01/08/2026,v,,,,,Link,
FLO Force minor bug fixes,Done,01/09/2026,,,v,,,Link,
FLO Force Pipettor Visual Upgrades,Done,01/12/2026,,,v,,,,
FLO Force Bullet/Pipettor Combat Effects,Done,01/12/2026,,,v,,,,
FLO Force Upgrade Visual Feedback,Done,01/13/2026,,,v,,,,
FLO Force Dynamic Environment System,Done,01/13/2026,,,v,,,,
Development and demo site maintain plugin versioning to match live sites,Done,01/14/2026,,v,,,,,
"Monthly backup of live, development, and demo sites",Done,01/15/2026,,,v,,,,
Fix/reslove WCM Product Category not showing on home page,Done,01/16/2026,v,,,,,,
Fix invalid date issue on wcm,Done,01/20/2026,,,v,,,,
Fix products sync from TIGA to estore,Done,01/21/2026,,,v,,,,
FLO Force - Version 0.2.1 - Performance & Balance Update,Done,01/26/2026,,v,,,,Link,
FLO Force - Version 0.3.0 - Environment Update,Done,01/27/2026,,v,,,,,
FAST Photo Shoot,Done,01/27/2026,,,v,,,Link,
FLO Force - Version 0.4.0 - Enemy Damage Visual Feedback System,Done,01/28/2026,,v,,,,Link,
FLO Force - Version 0.4.1 - Gameplay Balance & Pacing Update,Done,01/28/2026,,v,,,,,
FLO Force - Version 0.4.2 - Visual Enhancement & Environment Update ,Done,01/29/2026,,v,,,,,
,,,,,,,,,
Done,,,,,,,,,
Done (Need Review),,,,,,,,,
On Progress,,,,,,,,,
Moved to next month,,,,,,,,,
Cancelled / Hold,,,,,,,,,
On Revise,,,,,,,,,
